alexnet_num-23500 top1:0.5641702127659575, top5:0.7935744680851063, time cost: 0.6142432689666748s
alexnet_num-23600 top1:0.5640254237288136, top5:0.7934745762711864, time cost: 0.5989124774932861s
alexnet_num-23700 top1:0.5636286919831224, top5:0.7934177215189874, time cost: 0.6084907054901123s
alexnet_num-23800 top1:0.5635714285714286, top5:0.7935294117647059, time cost: 0.636587381362915s
alexnet_num-23900 top1:0.563723849372385, top5:0.7934728033472803, time cost: 0.5867099761962891s
alexnet_num-24000 top1:0.5633333333333334, top5:0.7933333333333333, time cost: 0.589392900466919s
alexnet_num-24100 top1:0.5631120331950208, top5:0.7933195020746888, time cost: 0.6569299697875977s
alexnet_num-24200 top1:0.5630165289256198, top5:0.7934710743801653, time cost: 0.6044526100158691s
alexnet_num-24300 top1:0.5631275720164609, top5:0.7935802469135802, time cost: 0.6294658184051514s
alexnet_num-24400 top1:0.5635245901639344, top5:0.7936475409836066, time cost: 0.7108333110809326s
alexnet_num-24500 top1:0.563265306122449, top5:0.7935102040816326, time cost: 0.5977826118469238s
alexnet_num-24600 top1:0.5633739837398374, top5:0.7936991869918699, time cost: 0.6109390258789062s
alexnet_num-24700 top1:0.5633603238866397, top5:0.7938866396761134, time cost: 0.6006655693054199s
alexnet_num-24800 top1:0.5633064516129033, top5:0.7939919354838709, time cost: 0.5933518409729004s
alexnet_num-24900 top1:0.5633734939759036, top5:0.7941767068273092, time cost: 0.5946557521820068s
alexnet_num-25000 top1:0.56316, top5:0.79396, time cost: 0.6011848449707031s
alexnet_num-25100 top1:0.563187250996016, top5:0.79398406374502, time cost: 0.5871295928955078s
alexnet_num-25200 top1:0.5632142857142857, top5:0.7940079365079366, time cost: 0.6148719787597656s
alexnet_num-25300 top1:0.5633201581027668, top5:0.7939525691699605, time cost: 0.6170275211334229s
alexnet_num-25400 top1:0.5636614173228346, top5:0.7940157480314961, time cost: 0.7034046649932861s
alexnet_num-25500 top1:0.5639607843137255, top5:0.7941960784313725, time cost: 0.6704428195953369s
alexnet_num-25600 top1:0.5641015625, top5:0.7940234375, time cost: 0.5919077396392822s
alexnet_num-25700 top1:0.5644357976653697, top5:0.79431906614786, time cost: 0.5742125511169434s
alexnet_num-25800 top1:0.5639922480620155, top5:0.7943023255813954, time cost: 0.5950527191162109s
alexnet_num-25900 top1:0.5643243243243243, top5:0.7942857142857143, time cost: 0.6275925636291504s
alexnet_num-26000 top1:0.5642692307692307, top5:0.7941538461538461, time cost: 0.6126389503479004s
alexnet_num-26100 top1:0.5642528735632184, top5:0.7944061302681993, time cost: 0.5911827087402344s
alexnet_num-26200 top1:0.5642748091603054, top5:0.794236641221374, time cost: 0.5833122730255127s
alexnet_num-26300 top1:0.564296577946768, top5:0.7942965779467681, time cost: 0.5967538356781006s
alexnet_num-26400 top1:0.5642045454545455, top5:0.7944696969696969, time cost: 0.5938625335693359s
alexnet_num-26500 top1:0.5642641509433962, top5:0.7946792452830189, time cost: 0.5756211280822754s
alexnet_num-26600 top1:0.5643233082706767, top5:0.7947744360902256, time cost: 0.6051511764526367s
alexnet_num-26700 top1:0.5644569288389513, top5:0.7946816479400749, time cost: 0.6287972927093506s
alexnet_num-26800 top1:0.5645149253731343, top5:0.7945522388059701, time cost: 0.7071106433868408s
alexnet_num-26900 top1:0.5647211895910781, top5:0.7945353159851302, time cost: 0.5849628448486328s
alexnet_num-27000 top1:0.5645185185185185, top5:0.7942592592592592, time cost: 0.615307092666626s
alexnet_num-27100 top1:0.5643173431734317, top5:0.7939852398523985, time cost: 0.6278367042541504s
alexnet_num-27200 top1:0.5642279411764706, top5:0.7940073529411765, time cost: 0.599348783493042s
alexnet_num-27300 top1:0.5641025641025641, top5:0.7938461538461539, time cost: 0.5985944271087646s
alexnet_num-27400 top1:0.5637226277372263, top5:0.7937956204379562, time cost: 0.6058664321899414s
alexnet_num-27500 top1:0.563490909090909, top5:0.7938545454545455, time cost: 0.5864927768707275s
alexnet_num-27600 top1:0.5634057971014492, top5:0.7939130434782609, time cost: 0.6166584491729736s
alexnet_num-27700 top1:0.5637906137184115, top5:0.7940794223826715, time cost: 0.6155004501342773s
alexnet_num-27800 top1:0.5638129496402877, top5:0.7941726618705036, time cost: 0.6028432846069336s
alexnet_num-27900 top1:0.5637275985663083, top5:0.7943010752688172, time cost: 0.577080249786377s
alexnet_num-28000 top1:0.5638571428571428, top5:0.7944642857142857, time cost: 0.6809098720550537s
alexnet_num-28100 top1:0.563914590747331, top5:0.7944839857651246, time cost: 0.7273366451263428s
alexnet_num-28200 top1:0.5636524822695036, top5:0.794468085106383, time cost: 0.5783405303955078s
alexnet_num-28300 top1:0.563922261484099, top5:0.7945936395759717, time cost: 0.5708410739898682s
alexnet_num-28400 top1:0.5641901408450705, top5:0.7948591549295775, time cost: 0.6921727657318115s
alexnet_num-28500 top1:0.5642456140350878, top5:0.7949473684210526, time cost: 0.8042397499084473s
alexnet_num-28600 top1:0.5640559440559441, top5:0.7946853146853147, time cost: 0.6732747554779053s
alexnet_num-28700 top1:0.5642160278745645, top5:0.7948083623693379, time cost: 0.6232366561889648s
alexnet_num-28800 top1:0.564375, top5:0.7947916666666667, time cost: 0.6134858131408691s
alexnet_num-28900 top1:0.5642906574394464, top5:0.7947404844290658, time cost: 0.6161508560180664s
