densenet169_num-20700 top1:0.7617391304347826, top5:0.9313526570048309, time cost: 3.169288158416748s
densenet169_num-20800 top1:0.7616346153846154, top5:0.9313461538461538, time cost: 3.140296697616577s
densenet169_num-20900 top1:0.761866028708134, top5:0.9313875598086124, time cost: 3.0901031494140625s
densenet169_num-21000 top1:0.7622857142857142, top5:0.9315714285714286, time cost: 3.0662522315979004s
densenet169_num-21100 top1:0.7623696682464455, top5:0.9314218009478673, time cost: 3.028386354446411s
densenet169_num-21200 top1:0.7621698113207547, top5:0.9314622641509434, time cost: 3.0995726585388184s
densenet169_num-21300 top1:0.7624413145539906, top5:0.9315962441314554, time cost: 3.1982173919677734s
densenet169_num-21400 top1:0.7621495327102804, top5:0.9316355140186916, time cost: 3.137596607208252s
densenet169_num-21500 top1:0.7621860465116279, top5:0.9318604651162791, time cost: 3.096310615539551s
densenet169_num-21600 top1:0.7623611111111112, top5:0.9318518518518518, time cost: 2.9918882846832275s
densenet169_num-21700 top1:0.7623041474654378, top5:0.931889400921659, time cost: 3.0835955142974854s
densenet169_num-21800 top1:0.7622477064220183, top5:0.9318807339449541, time cost: 3.1562769412994385s
densenet169_num-21900 top1:0.7621461187214612, top5:0.9320091324200913, time cost: 3.1799142360687256s
densenet169_num-22000 top1:0.7625, top5:0.9320909090909091, time cost: 3.1619558334350586s
densenet169_num-22100 top1:0.7623529411764706, top5:0.9320814479638009, time cost: 3.156418800354004s
densenet169_num-22200 top1:0.7624774774774775, top5:0.9322072072072072, time cost: 3.1299052238464355s
densenet169_num-22300 top1:0.7622421524663677, top5:0.9322421524663678, time cost: 3.0723419189453125s
densenet169_num-22400 top1:0.7623214285714286, top5:0.9324107142857143, time cost: 3.017853021621704s
densenet169_num-22500 top1:0.7623555555555556, top5:0.9324888888888889, time cost: 3.2767317295074463s
densenet169_num-22600 top1:0.7623451327433628, top5:0.9324778761061947, time cost: 3.1733293533325195s
densenet169_num-22700 top1:0.7620704845814978, top5:0.9322907488986785, time cost: 3.1868667602539062s
densenet169_num-22800 top1:0.7621491228070175, top5:0.9321491228070176, time cost: 3.144381046295166s
densenet169_num-22900 top1:0.7620087336244541, top5:0.9320960698689956, time cost: 3.0916333198547363s
densenet169_num-23000 top1:0.7618260869565218, top5:0.9320434782608695, time cost: 3.0525569915771484s
densenet169_num-23100 top1:0.7617316017316017, top5:0.931991341991342, time cost: 3.1640450954437256s
densenet169_num-23200 top1:0.7617672413793104, top5:0.9320258620689655, time cost: 3.1967501640319824s
densenet169_num-23300 top1:0.7614163090128755, top5:0.9320600858369099, time cost: 3.1956517696380615s
densenet169_num-23400 top1:0.7614102564102564, top5:0.932008547008547, time cost: 3.030351161956787s
densenet169_num-23500 top1:0.7613617021276595, top5:0.9320425531914893, time cost: 3.0327014923095703s
densenet169_num-23600 top1:0.7613559322033898, top5:0.931906779661017, time cost: 3.072479724884033s
densenet169_num-23700 top1:0.7610126582278481, top5:0.9320253164556962, time cost: 3.1634435653686523s
